filename,repetition,participant_id,detrended_fluctuation_analysis,spectral_contrast_mean,spectral_contrast_sd,spectral_flatness_mean,spectral_flatness_sd,spectral_rolloff_mean,spectral_rolloff_sd,tonnetz_fifth_x_mean,tonnetz_fifth_x_sd,tonnetz_fifth_y_mean,tonnetz_fifth_y_sd,tonnetz_major_third_x_mean,tonnetz_major_third_x_sd,tonnetz_major_third_y_mean,tonnetz_major_third_y_sd,tonnetz_minor_third_x_mean,tonnetz_minor_third_x_sd,tonnetz_minor_third_y_mean,tonnetz_minor_third_y_sd,vowel_duration,average_mfccs_1,average_mfccs_2,average_mfccs_3,average_mfccs_4,alpha_ratio_mean,alpha_ratio_sd,apq11_shimmer,apq3_shimmer,apq5_shimmer,dda_shimmer,ddp_jitter,duration,f1_bandwidth_mean,f1_bandwidth_sd,f1_frequency_mean,f1_frequency_sd,f1_relative_energy_mean,f1_relative_energy_sd,f2_bandwidth_mean,f2_bandwidth_sd,f2_frequency_mean,f2_frequency_sd,f2_relative_energy_mean,f2_relative_energy_sd,f3_bandwidth_mean,f3_bandwidth_sd,f3_frequency_mean,f3_frequency_sd,f3_relative_energy_mean,f3_relative_energy_sd,h1_a3_harmonic_difference_mean,h1_a3_harmonic_difference_sd,h1_h2_harmonic_difference_mean,h1_h2_harmonic_difference_sd,hammarberg_index_mean,hammarberg_index_sd,hnr_mean,hnr_sd,local_jitter,local_absolute_jitter,local_dB_shimmer,local_shimmer,loudness_mean,loudness_sd,pause_durations_sum,pause_durations_mean,pause_durations_sd,number_of_pauses,pause_rate,ppq5_jitter,rap_jitter,rate_loudness_peaks,signal_to_noise_ratio,spectral_slope_0_500_mean,spectral_slope_0_500_sd,spectral_slope_500_1500_mean,spectral_slope_500_1500_sd,speech_ratio,utterance_durations_sum,utterance_durations_mean,utterance_durations_sd,vocal_tremor,pitch_max,pitch_min,pitch_mean,pitch_std,pitch_range,pitch_coefficient_of_variation,pitch_skewness,pitch_kurtosis,pitch_first_quartile,pitch_second_quartile,pitch_third_quartile,pitch_q2_q1_range,pitch_q3_q2_range,pitch_q3_q1_range,pitch_percentile_1,pitch_percentile_99,pitch_percentile_1_99_range,pitch_percentile_20,pitch_percentile_80,pitch_percentile_20_80_range,pitch_linear_regression_offset,pitch_linear_regression_slope,pitch_linear_regression_mse
AVPEPUDEA0009a2.wav,a2,AVPEPUDEA0009,0.049652,20.516178,5.251052,0.026210703,0.014532383,3678.90625,581.436807,-0.114708,0.132854,0.079713,0.198055,0.01548,0.049533,-0.064526,0.042875,-0.055835,0.144453,-0.162468,0.09447,2.185,88.22364,-48.148575,-12.622044,8.979968,1.698873,0.521942,7.858836,5.803619,6.816005,17.410858,4.38082,2.23,713.537144,209.460052,792.788816,178.39284,-2.276685,2.528791,537.011527,262.132791,1542.967839,144.231686,-3.02601,3.430503,1051.999159,473.151235,2585.312935,291.129553,-11.500374,2.674913,-12.71335,2.871531,-2.828404,2.054599,16.457242,2.90365,5.273344,14.727766,2.339332,0.019996,96.531246,10.561414,-30.485575,2.693075,0,,,0,0,1.161325,1.460273,8.237986,-0.00034,2.1338,0.792896,2.738644,2.840249,0.979821,2.185,2.185,0,20.41995,121.814787,87.482827,115.860328,4.408719,34.33196,0.038052,-3.129687,17.411996,114.38824,115.281066,119.27988,0.892826,3.998814,4.89164,96.390143,121.609485,25.219343,114.230693,119.617575,5.386882,121.227404,-0.080106,9.691663
AVPEPUDEA0048a2.wav,a2,AVPEPUDEA0048,0.06474,24.379594,5.745498,0.0021368756,0.0006867425,2860.491071,545.519609,0.06224,0.114025,-0.02114,0.277083,0.086933,0.067014,-0.010991,0.105807,0.219301,0.167425,-0.183223,0.228759,1.295,95.333389,-32.404949,-11.335119,-25.308237,2.805716,0.963559,4.711316,3.2135,3.519314,9.640499,0.90529,1.336,125.996297,67.830792,727.39013,57.680364,-1.363772,3.946743,167.415372,80.431107,1393.422871,27.379054,-10.433856,4.460103,620.320044,680.469095,3178.630683,198.297492,-22.022064,7.529695,-14.169082,2.905101,-3.180896,4.448041,23.040925,4.4474,18.634312,2.853344,0.515217,0.002666,54.41318,5.865254,-46.332393,3.237957,0,,,0,0,0.251859,0.301763,0.772201,-0.005254,1.277745,1.725474,-3.850244,2.219723,0.969311,1.295,1.295,0,8.922695,205.368433,192.779627,197.902121,3.260647,12.588807,0.016476,-0.10422,-0.88237,194.762141,198.775988,200.172843,4.013847,1.396855,5.410702,192.816862,204.406302,11.58944,193.928119,200.714835,6.786716,198.836038,-0.046696,10.326548
AVPEPUDEA0030a3.wav,a3,AVPEPUDEA0030,0.033434,24.415586,6.116375,0.0016212534,0.00071724685,2251.909722,345.81198,-0.047402,0.147044,0.036497,0.219012,0.085941,0.050561,-0.005475,0.100406,-0.167814,0.237381,0.26819,0.221834,1.085,117.254623,-45.375149,8.107959,-18.99617,4.015129,1.358797,4.979893,1.290108,2.492676,3.870323,1.04796,1.41,135.349614,48.993982,617.330559,27.020008,3.728525,5.872974,290.222204,140.095815,1336.425681,78.854053,-7.752839,3.2982,203.074822,162.260424,2497.864703,39.769408,-14.460061,5.758327,-15.235078,6.597666,4.061266,1.86849,19.028549,3.783759,15.544635,26.366037,0.770066,0.005772,35.259999,3.916781,-31.986555,3.07379,0.08,0.08,0,1,0.056738,0.432338,0.34932,3.686636,-0.001195,4.088225,1.75037,-10.657191,2.320095,0.769504,1.085,0.5425,0.4775,7.300489,147.698615,126.647988,132.131623,4.240374,21.050627,0.032092,0.976693,1.693123,128.008709,132.862138,134.347944,4.853429,1.485806,6.339235,126.697333,145.456577,18.759245,127.494543,134.449208,6.954665,132.940977,-0.021022,17.756748
AVPEPUDEAC0030a3.wav,a3,AVPEPUDEAC0030,0.011252,26.475485,7.020161,0.0024943661,0.002843002,3017.233456,300.814249,0.077625,0.160833,-0.414993,0.334069,-0.138088,0.111588,0.011753,0.064326,0.358077,0.33826,-0.184022,0.199999,1.015,37.993816,-45.320763,-42.15757,-11.596273,1.422241,0.159346,1.24328,0.652931,0.821042,1.958793,0.288505,1.066,273.640479,399.932336,875.485158,30.452968,6.964245,1.221195,239.38591,55.732865,1371.970451,54.216346,3.346359,0.809945,1382.644723,622.452959,2843.416767,223.987729,-9.487208,0.893471,-5.391312,0.403209,-8.735079,1.038684,20.080304,2.463235,26.326185,5.03842,0.201648,0.000837,16.228459,1.582661,-46.459164,2.178727,0,,,0,0,0.097039,0.096168,0.985222,-0.005933,6.665036,0.791236,1.963451,0.884448,0.952158,1.015,1.015,0,14.160364,236.20928,211.986181,228.557679,7.515708,24.223098,0.032883,-1.116126,-0.077217,225.685549,231.726813,233.559808,6.041264,1.832995,7.874259,212.55066,236.079973,23.529312,223.073091,233.966819,10.893728,217.893113,2.369904,10.150211
AVPEPUDEAC0005a3.wav,a3,AVPEPUDEAC0005,0.023331,25.798379,7.265761,0.00069431844,0.0003010004,1452.743902,260.062997,-0.299558,0.167842,-0.26179,0.187709,0.073524,0.028617,-0.126379,0.09324,-0.371854,0.260747,0.170491,0.074562,1.235,125.905289,-32.767685,-17.493872,-28.65098,3.988464,0.785768,2.715347,1.854329,2.132294,5.562988,0.29768,1.29,231.374899,107.767287,613.27495,39.428073,4.639103,0.679602,290.578125,162.30832,1095.592911,51.611973,-2.473918,1.575706,314.774079,195.257321,2366.224233,62.066113,-17.566237,2.892612,-18.343029,3.222805,-0.561199,1.125674,21.996033,2.800074,22.741638,4.165509,0.283376,0.00205,31.141955,3.469844,-14.150139,1.771253,0,,,0,0,0.133749,0.099227,0.809717,-0.000074,6.026565,0.61142,-18.690809,1.207199,0.957364,1.235,1.235,0,8.793875,141.462195,125.54494,138.576901,2.725482,15.917255,0.019668,-2.589864,7.654252,139.094852,139.502555,139.921248,0.407703,0.418694,0.826397,127.659131,141.318593,13.659462,137.625952,140.070901,2.44495,137.633011,0.02517,7.123356
AVPEPUDEAC0043a3.wav,a3,AVPEPUDEAC0043,0.050589,23.376071,6.250173,0.003405788,0.0009970745,2718.171296,319.453356,-0.167092,0.181463,-0.062122,0.221295,-0.070174,0.045154,-0.093199,0.066839,0.092529,0.157239,-0.250394,0.086224,0.8,98.755119,-14.795817,-4.927487,-27.901968,6.828027,2.477775,4.237445,2.643738,3.260769,7.931214,0.75197,0.84,316.679722,280.618664,701.396694,54.92833,3.652702,1.551833,528.860832,251.937136,1234.266976,257.341051,-3.553434,5.125917,434.188908,245.809575,2603.211409,218.929622,-20.913398,2.371483,-22.940897,2.066304,5.709034,1.544778,24.189944,2.510652,17.761176,3.972187,0.488845,0.004121,40.883356,4.808493,-46.350431,0.993826,0,,,0,0,0.269396,0.250657,2.5,-0.0052,1.929804,1.191975,-13.24179,4.123034,0.952381,0.8,0.8,0,9.130354,121.784252,115.620384,118.200218,1.920898,6.163868,0.016251,0.230814,-1.35286,116.407964,118.553919,119.579786,2.145956,1.025866,3.171822,115.63952,121.748698,6.109177,116.350526,119.745407,3.394881,115.314935,0.137394,0.782756
AVPEPUDEA0058a2.wav,a2,AVPEPUDEA0058,0.042454,24.526971,6.582078,0.0045667854,0.0041026175,3315.290179,442.474186,0.102517,0.079428,0.216091,0.196714,0.019571,0.051409,0.132865,0.032409,0.273687,0.123649,0.334667,0.1579,2.19,76.128624,-8.579944,-25.411285,-47.48732,3.318366,0.611643,3.219737,2.081071,2.448627,6.243213,0.823106,2.23,128.986185,37.620352,653.881542,27.237977,2.817783,1.870946,198.705406,49.646225,1170.006496,18.353089,-5.881862,2.325072,285.86822,189.802462,2990.591171,91.457364,-20.935677,5.430596,-8.230852,4.653022,0.370602,2.132285,23.336168,4.154312,19.414108,4.061767,0.517106,0.004036,34.601139,3.902483,-27.0781,1.740611,0,,,0,0,0.316223,0.274369,1.826484,-0.000333,2.092174,0.571345,-15.295514,2.1727,0.982063,2.19,2.19,0,9.162565,132.435279,125.157963,127.091191,1.082211,7.277316,0.008515,0.941564,2.80416,126.341348,127.028737,127.893789,0.687389,0.865052,1.552441,125.327703,130.036864,4.709161,126.214345,128.044421,1.830076,126.919456,0.002044,1.161233
AVPEPUDEA0045a1.wav,a1,AVPEPUDEA0045,0.016595,23.235623,6.633981,0.014487382,0.002427488,4274.107143,330.380595,-0.115924,0.096693,-0.060069,0.300902,-0.049838,0.098566,0.077893,0.083752,-0.251159,0.176693,-0.218953,0.184171,2.19,51.800377,-40.472057,-34.058235,-18.078279,1.915869,0.430153,8.54038,7.464973,7.860218,22.39492,1.417021,2.23,398.571736,123.481363,708.873996,82.336817,0.191596,4.147655,269.770073,66.678535,1313.983062,39.959959,-2.098441,3.189529,245.375794,61.259198,2921.866466,28.172246,-15.17247,2.950744,-16.798314,2.995769,12.760319,3.456079,18.580867,2.634484,13.886811,2.82452,0.823609,0.004569,118.961814,13.097234,-34.538099,0.710303,0,,,0,0,0.448432,0.47234,12.328767,-0.001691,5.79184,1.037219,-0.326855,2.178343,0.982063,2.19,2.19,0,7.052256,189.897606,172.383655,179.721785,3.733534,17.513951,0.020774,-0.084915,-0.21218,178.046456,179.887399,182.355794,1.840942,2.468395,4.309337,172.585026,189.676905,17.091878,175.544075,182.997193,7.453118,184.900797,-0.102555,4.821511
AVPEPUDEAC0025a3.wav,a3,AVPEPUDEAC0025,0.012321,24.366699,6.172688,0.0030210186,0.0030499457,3008.370536,153.850558,-0.13826,0.177241,0.045171,0.301492,-0.009552,0.094532,-0.102293,0.063025,-0.018168,0.255755,-0.342038,0.157427,2.175,44.893829,-66.637169,-18.403635,-22.497766,1.356724,0.57925,3.018521,1.765007,2.114204,5.295021,0.550141,2.23,250.139246,84.057702,881.220925,104.649539,14.259496,4.785248,219.166719,61.773848,1438.168132,36.231537,12.507522,3.09579,677.753426,538.640111,2930.035619,83.256223,-0.379031,3.527375,-12.397704,3.313867,6.737669,2.534498,16.307534,3.032307,21.938852,4.644064,0.39088,0.001706,35.420504,3.608632,-30.949542,2.899776,0,,,0,0,0.166912,0.18338,1.83908,-0.001051,7.921646,1.293131,3.839107,3.603068,0.975336,2.175,2.175,0,19.73208,240.329943,224.276133,233.175968,3.65599,16.05381,0.015679,-0.123344,-0.558542,230.480921,233.290857,235.468914,2.809936,2.178057,4.987993,224.525015,239.673264,15.148249,229.770579,236.516725,6.746145,237.789926,-0.08389,6.141041
AVPEPUDEA0031a3.wav,a3,AVPEPUDEA0031,0.036226,23.340426,5.640749,0.002760623,0.0020979408,2499.699519,433.581464,-0.005068,0.094878,0.203708,0.156266,-0.08378,0.068906,-0.106478,0.064233,-0.395491,0.121827,0.200835,0.139285,1.57,84.063889,-28.704832,4.756322,19.26807,5.038421,3.370543,7.602228,1.688585,2.899332,5.065754,0.671366,1.65,573.676972,229.940434,562.331148,225.664188,-4.091029,4.253753,477.588045,278.358855,1522.739193,257.240352,-13.883441,5.256458,558.374243,273.128725,2612.427517,267.720631,-23.949902,6.732284,-23.690764,4.326922,20.097745,2.920217,24.607192,5.393084,19.083239,4.791689,0.520117,0.003028,61.786757,5.965595,-46.1085,2.56324,0,,,0,0,0.31281,0.223789,4.458599,-0.005075,1.777459,1.096114,0.008981,3.98364,0.951515,1.57,1.57,0,1.687006,180.049517,161.985107,171.003105,3.441545,18.06441,0.020126,0.553643,0.625157,168.764906,170.749579,172.629617,1.984673,1.880038,3.864711,163.15175,179.733818,16.582068,168.43687,173.053111,4.616242,171.858109,-0.012128,11.5971
